asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
B00006FMUW,My Big Fat Greek Wedding,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira","$241,250,669","Canada, USA",Joel Zwick,"Comedy, Drama, Romance","English, Greek",62,IFC Films,PG,02 Aug 2002,95 min,movie,Nia Vardalos,2002,tt0259446,6.6,"108,229"
B00080ZG2O,Lois & Clark: The New Adventures of Superman,"Dean Cain, Teri Hatcher, Lane Smith, K Callan",,USA,N/A,"Adventure, Comedy, Drama",English,N/A,,TV-PG,12 Sep 1993,46 min,series,"Deborah Joy LeVine, Joe Shuster, Jerry Siegel",1993–1997,tt0106057,6.8,"17,027"
0790731975,Dirty Harry,"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon",N/A,USA,Don Siegel,"Action, Crime, Thriller",English,N/A,Warner Home Video,R,23 Dec 1971,102 min,movie,"Harry Julian Fink (screenplay), Rita M. Fink (screenplay), Dean Riesner (screenplay), Harry Julian Fink (story), Rita M. Fink (story)",1971,tt0066999,7.8,"123,031"
6303209955,The Ladykillers,"Tom Hanks, Irma P. Hall, Marlon Wayans, J.K. Simmons",N/A,USA,"Ethan Coen, Joel Coen","Comedy, Crime, Thriller","English, Vietnamese",56,Buena Vista Pictures,R,26 Mar 2004,104 min,movie,"Joel Coen (screenplay), Ethan Coen (screenplay), William Rose (movie ""The Ladykillers"")",2004,tt0335245,6.2,"88,892"
6303079660,The Purple Rose of Cairo,"Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman",N/A,USA,Woody Allen,"Comedy, Fantasy, Romance",English,75,Orion Pictures Corporation,PG,19 Apr 1985,82 min,movie,Woody Allen,1985,tt0089853,7.7,"39,841"
B000F7CMRM,Syriana,"Kayvan Novak, George Clooney, Amr Waked, Christopher Plummer","$50,800,000","USA, United Arab Emirates",Stephen Gaghan,"Drama, Thriller","English, Urdu, Arabic, Persian, French, Mandarin",76,Warner Bros. Pictures,R,09 Dec 2005,128 min,movie,"Stephen Gaghan, Robert Baer (book)",2005,tt0365737,7.0,"115,206"
B00005JLH2,Drumline,"Nick Cannon, Zoe Saldana, Orlando Jones, Leonard Roberts","$56,178,945",USA,Charles Stone III,"Comedy, Drama, Romance",English,63,20th Century Fox,PG-13,13 Dec 2002,118 min,movie,"Shawn Schepps (story), Tina Gordon Chism (screenplay), Shawn Schepps (screenplay)",2002,tt0303933,5.7,"29,675"
B0036TGSJE,The Secret in Their Eyes,"Soledad Villamil, Ricardo Darín, Carla Quevedo, Pablo Rago","$6,390,014","Argentina, Spain",Juan José Campanella,"Drama, Mystery, Romance",Spanish,80,Sony Pictures Classics,R,21 May 2010,129 min,movie,"Eduardo Sacheri (screenplay), Juan José Campanella (screenplay), Eduardo Sacheri (novel)",2009,tt1305806,8.2,"150,547"
B005GT3X68,Wrong Turn 4: Bloody Beginnings,"Jennifer Pudavick, Tenika Davis, Kaitlyn Leeb, Terra Vnesa",N/A,"USA, Germany",Declan O'Brien,Horror,English,N/A,N/A,R,25 Oct 2011,93 min,movie,"Declan O'Brien, Alan B. McElroy (characters)",2011,tt1865567,4.6,"18,792"
B00006AW7S,Das Experiment,N/A,N/A,Germany,"Gregor Stockmann, Arne Zank","Animation, Short",N/A,N/A,N/A,N/A,N/A,9 min,movie,N/A,1998,tt0254316,8.1,307
6301706587,A Summer Place,"Richard Egan, Dorothy McGuire, Sandra Dee, Arthur Kennedy",N/A,USA,Delmer Daves,"Drama, Romance",English,N/A,Warner Home Video,APPROVED,18 Nov 1959,130 min,movie,"Sloan Wilson (novel), Delmer Daves",1959,tt0053320,7.0,"2,338"
B000NA6CP4,Charlotte's Web,"Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey","$82,100,000","USA, Germany, Australia",Gary Winick,"Comedy, Family, Fantasy",English,68,Paramount Pictures,G,15 Dec 2006,97 min,movie,"Susannah Grant (screenplay), Karey Kirkpatrick (screenplay), Earl Hamner Jr. (film story), E.B. White (book)",2006,tt0413895,6.3,"30,610"
B0030Y11O2,Capitalism: A Love Story,"William Black, Jimmy Carter, Elijah Cummings, Baron Hill","$14,342,792",USA,Michael Moore,"Documentary, Crime, News","English, Russian, Spanish",61,Overture Films,R,02 Oct 2009,127 min,movie,Michael Moore,2009,tt1232207,7.4,"37,735"
6300251217,Straw Dogs,"Dustin Hoffman, Susan George, Peter Vaughan, T.P. McKenna",N/A,"UK, USA",Sam Peckinpah,"Crime, Drama, Thriller",English,N/A,Sony Pictures/Screen Gems,R,30 Jan 1972,113 min,movie,"David Zelag Goodman (screenplay), Sam Peckinpah (screenplay), Gordon Williams (novel)",1971,tt0067800,7.5,"48,557"
6304056877,Misfits,"Nathan Stewart-Jarrett, Joseph Gilgun, Iwan Rheon, Lauren Socha",,UK,N/A,"Comedy, Drama, Fantasy",English,N/A,,TV-MA,19 Jul 2012,60 min,series,Howard Overman,2009–2013,tt1548850,8.3,"80,437"
B0015OKWKS,Last Chance Harvey,"Dustin Hoffman, Emma Thompson, Eileen Atkins, Kathy Baker","$14,840,421",USA,Joel Hopkins,"Drama, Romance",English,57,Overture Films,PG-13,16 Jan 2009,93 min,movie,Joel Hopkins,2008,tt1046947,6.7,"18,826"
0783222475,Dante's Peak,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley",N/A,USA,Roger Donaldson,"Action, Adventure, Thriller",English,43,Universal Pictures,PG-13,07 Feb 1997,108 min,movie,Leslie Bohem,1997,tt0118928,5.9,"67,673"
B000N6U0DS,The Pursuit of Happyness,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe","$162,586,036",USA,Gabriele Muccino,"Biography, Drama","English, Cantonese",64,Sony Pictures,PG-13,15 Dec 2006,117 min,movie,Steve Conrad,2006,tt0454921,8.0,"372,530"
6302765536,Home Alone 2: Lost in New York,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara",N/A,USA,Chris Columbus,"Adventure, Comedy, Family","English, French",N/A,20th Century Fox,PG,20 Nov 1992,120 min,movie,"John Hughes (characters), John Hughes",1992,tt0104431,6.6,"229,761"
630168740X,Night Breed,N/A,N/A,USA,Gino Colbert,Adult,English,N/A,N/A,N/A,N/A,N/A,movie,N/A,1992,tt0144471,6.4,14
B0014DZ2XC,The Rolling Stones: Shine a Light Movie Special,"Edith Bowman, Mick Jagger, Keith Richards, Martin Scorsese",N/A,UK,N/A,"Documentary, Music",English,N/A,N/A,N/A,11 Apr 2008,N/A,movie,Simon Ragoonanan,2008,tt1216505,6.8,46
