title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Black Sheep,B000TJ6PB0,2006,True,"['Comedy', 'Horror', 'Sci-Fi']",87,"['New Zealand Film Commission', 'New Zealand On Air', 'Daesung Group, The', 'Escapade Pictures', 'Singlet Films', 'Live Stock Films']",5.8,36285.0,['Jonathan King']
Hell Is for Heroes,6301608534,1962,True,"['Drama', 'War']",90,['Paramount Pictures'],7.0,5443.0,['Don Siegel']
Never Been Kissed,630557605X,1999,True,"['Comedy', 'Drama', 'Romance']",107,"['Fox 2000 Pictures', 'Bushwood Pictures', 'Flower Films', 'Never Been Kissed Productions']",6.0,72877.0,['Raja Gosnell']
Green for Danger,6302789648,1947,False,"['Crime', 'Mystery', 'Thriller']",91,['Individual Pictures'],7.6,3423.0,['Sidney Gilliat']
Murder by Death,6302797535,1976,True,"['Comedy', 'Mystery', 'Thriller', 'Crime']",94,"['Columbia Pictures Corporation', 'Rastar Pictures']",7.4,27182.0,['Robert Moore']
The Social Network,B0034G4P7G,2010,True,"['Biography', 'Drama']",120,"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",7.7,527140.0,['David Fincher']
Monsters vs. Aliens,B001GCUO7A,2009,False,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",94,['DreamWorks Animation'],6.5,125023.0,"['Rob Letterman', 'Conrad Vernon']"
Swimming Pool,B00005JMIJ,2003,True,"['Crime', 'Drama', 'Mystery', 'Thriller']",102,"['Fidélité Productions', 'France 2 Cinéma', 'Gimages', 'FOZ', 'Headforce Ltd.', 'Canal+']",6.8,37237.0,['François Ozon']
The Gravedancers,B000MEYKDW,2006,True,['Horror'],95,['Code Entertainment'],5.5,8440.0,['Mike Mendez']
Men in Black II,B00005JKZ2,2002,True,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']",88,"['Columbia Pictures Corporation', 'Columbia Pictures', 'Amblin Entertainment', 'Parkes+MacDonald Image Nation']",6.1,286479.0,['Barry Sonnenfeld']
The Last Stand,B0090SI4HO,2013,True,"['Action', 'Crime', 'Thriller']",107,['Di Bonaventura Pictures'],6.4,121023.0,['Jee-woon Kim']
Dark Night of the Scarecrow,6301802780,1981,True,['Horror'],96,['Wizan Productions'],6.9,4004.0,['Frank De Felitta']
