title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
Bedknobs and Broomsticks [VHS],6301390725,"[Angela Lansbury, David Tomlinson, Roddy McDowall, Sam Jaffe, John Ericson]",VHS Tape,,[Robert Stevenson],9781558900165,,$3.25,Kids & Family,6301390725,Walt Disney Home Video,Walt Disney Home Video,"(11.45, USD)",Video,ABIS_VIDEO,,Walt Disney Home Video,US,2001-08-28,117,69094,Walt Disney Home Video,012257016031
The Patriot (Special Edition),B00004XPPG,"[Chris Cooper, Heath Ledger, Joely Richardson, Jason Isaacs, Mel Gibson]",DVD,Sony,[Roland Emmerich],9780767858465,Special Edition,$4.00,,0767858468,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(16.95, USD)",DVD,ABIS_DVD,2012-05-15,Sony Pictures Home Entertainment,US,2000-10-24,165,5516,Sony Pictures Home Entertainment,075596139120
Skyline,B003Y5H5GK,"[Eric Balfour, Donald Faison]",DVD,Universal Studios,"[Greg Strause, Colin Strause]",0025192084430,,$6.99,Action & Adventure,,Universal Studios,Universal Studios,"(8, USD)",DVD,ABIS_DVD,2012-01-24,Universal Studios,US,2011-03-22,94,35836,Universal Studios,025192084430
300: Rise of an Empire (Special Edition) (DVD),B00BEJL6JK,"[Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro]",DVD,Warner Home Video,[Noam Murro],0883929256549,Special Edition,$4.10,Action & Adventure,,WarnerBrothers,WarnerBrothers,"(9.89, USD)",DVD,ABIS_DVD,2014-04-02,WarnerBrothers,US,2014-06-24,102,28791,WarnerBrothers,883929256549
Christmas at Downton Abbey (PAL)(REGION 2)(MUST HAVE AN ALL REGION PLAYER TO VIEW),B004NSUXHU,"[Hugh Bonneville, Maggie Smith]",DVD,,"[Hugh Bonneville, Maggie Smith]",5050582860535,,$10.94,Kids & Family,,,,"(10.94, USD)",DVD,ABIS_DVD,,,US,,120,93052,,
Nochnoy dozor,B00005JOYL,"[Konstantin Khabenskiy, Vladimir Menshov, Mariya Poroshina, Valeriy Zolotukhin, Galina Tyunina]",DVD,,[Timur Bekmambetov],,,,,,,,"(None, None)",DVD,ABIS_DVD,,,US,,114,831533,,
Heathers [VHS],6304361009,"[Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk, Kim Walker]",VHS Tape,,[Michael Lehmann],9786304361009,VHS video,$13.50,Comedy,6304361009,Starz / Anchor Bay,Starz / Anchor Bay,"(24.99, USD)",Video,ABIS_VIDEO,1997-02-28,Starz / Anchor Bay,US,1997-09-10,103,356014,Starz / Anchor Bay,092091151730
The Game [VHS],6304765789,"[Michael Douglas, Deborah Kara Unger, Sean Penn, James Rebhorn, Peter Donat]",VHS Tape,,[David Fincher],9786304765784,,$2.24,,6304765789,USA,USA,"(9.66, USD)",Video,ABIS_VIDEO,,USA,US,1999-09-14,129,288216,USA,044004783538
Thelma & Louise [VHS],6302250269,"[Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen, Christopher McDonald]",VHS Tape,,[Ridley Scott],9780792810094,,$1.50,,6302250269,Fox Home Entertainme,Fox Home Entertainme,"(5.78, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2002-07-30,130,201126,Fox Home Entertainme,027616235534
Phantasm 4: Oblivion [VHS],0792846346,"[A. Michael Baldwin, Reggie Bannister, Bill Thornbury, Heidi Marnhout, Bob Ivy]",VHS Tape,MGM Movie Time,[Don Coscarelli],9780792846345,,$22.50,,0792846346,MGM (Video & DVD),MGM (Video & DVD),"(22.5, USD)",Video,ABIS_VIDEO,,MGM (Video & DVD),US,2000-08-01,90,271294,MGM (Video & DVD),027616852212
Witness for the Prosecution [VHS],6302413435,"[Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams]",VHS Tape,,[Billy Wilder],9786302413434,,$6.99,,6302413435,MGM,MGM,"(16.99, USD)",Video,ABIS_VIDEO,,MGM,US,1999-08-03,116,168860,MGM,027616251732
Quantum Leap - The Complete Second Season,B0002NY81C,"[Scott Bakula, Dean Stockwell]",DVD,Quantum,[],9781417023523,,$8.68,,141702352X,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(12.67, USD)",DVD,ABIS_DVD,2013-11-29,Universal Studios Home Entertainment,US,2004-12-14,2120,63248,Universal Studios Home Entertainment,025192608827
Four Brothers,B000BDGW4Y,"[Josh Charles, Terrence Howard, Kenneth Welsh, Fionnula Flanagan, Mark Wahlberg]",DVD,,[John Singleton],0097360360622,Special Edition,$28.98,,,Paramount,Paramount,"(28.98, USD)",DVD,ABIS_DVD,,Paramount,US,2005-12-20,108,399716,Paramount,097360360622
The Women,B0017ANAZO,"[Meg Ryan, Eva Mendes, Annette Bening, Debra Messing, Jada Pinkett-Smith]",DVD,NEW Line Home Video,[],0794043128424,,Too low to display,Drama,,WarnerBrothers,WarnerBrothers,"(None, None)",DVD,ABIS_DVD,2008-12-01,WarnerBrothers,US,2008-12-19,115,30407,WarnerBrothers,079404312842
Creepshow (Snap Case Packaging),0790744295,"[Hal Holbrook, Leslie Nielsen, Adrienne Barbeau, E.G. Marshall, Ted Danson]",DVD,"KING,STEPHEN",[George A. Romero],9780790744292,DVD Video,$6.95,Horror,0790744295,Warner Home Video,Warner Home Video,"(15.78, USD)",DVD,ABIS_DVD,1999-09-30,Warner Home Video,US,1999-10-26,120,77165,Warner Home Video,085391605324
The Naked Gun DVD Gift Set,B000065U35,[Leslie Nielsen],DVD,,[],9780792182467,,$19.99,,0792182464,Paramount,Paramount,"(19.99, USD)",DVD,ABIS_DVD,,Paramount,US,2002-05-14,251,24498,Paramount,009736062504
"New York, New York (Special Edition)",B00062IVKI,"[Liza Minnelli, Robert De Niro, Lionel Stander, Barry Primus, Mary Kay Place]",DVD,"MINNELLI,LIZA",[Martin Scorsese],9780792863311,Special Edition,$0.01,Drama,0792863313,MGM (Video & DVD),MGM (Video & DVD),"(11.09, USD)",DVD,ABIS_DVD,,MGM (Video & DVD),US,2006-01-31,155,98456,MGM (Video & DVD),027616915115
Sorority Row,B00275EHDM,"[Briana Evigan, Rumer Willis]",DVD,Universal,[Stewart Hendler],0025192049811,,$4.95,,,Summit Entertainment,Summit Entertainment,"(5.36, USD)",DVD,ABIS_DVD,2012-10-02,Summit Entertainment,US,2010-09-12,101,55762,Summit Entertainment,025192049811
The Missing (Widescreen Special Edition),B00005JMPT,"[Tommy Jones, Cate Blanchett, Evan Wood, Jenna Boyd, Aaron Eckhart]",DVD,Sony,[Ron Howard],9781404945623,Special Edition,$6.48,,1404945628,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(6.48, USD)",DVD,ABIS_DVD,2004-02-01,Sony Pictures Home Entertainment,US,2004-02-24,137,122027,Sony Pictures Home Entertainment,043396025431
He Knows You're Alone [VHS],6301969448,"[Don Scardino, Caitlin O'Heaney, Elizabeth Kemp, Tom Rolfing, Lewis Arlt]",VHS Tape,,[Armand Mastroianni],9786301969444,,$17.95,,6301969448,Fox Home Entertainme,Fox Home Entertainme,"(17.95, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,1991-09-25,94,394785,Fox Home Entertainme,027616022035
