title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
Alice [VHS],6302540097,"[Kristýna Kohoutová, Camilla Power]",VHS Tape,,[Jan Svankmajer],9786302540093,VHS video,$289.97,,6302540097,First Run Features,First Run Features,"(289.97, USD)",Video,ABIS_VIDEO,1995-09-30,First Run Features,US,1996-06-25,86,334149,First Run Features,720229907309
The Scarlet Pimpernel,6305066825,"[Leslie Howard, Merle Oberon, Raymond Massey, Nigel Bruce, Bramwell Fletcher]",DVD,Studio: MGM,[Harold Young],9786305066828,DVD Video,$14.95,,6305066825,Madacy Records,Madacy Records,"(19.99, USD)",DVD,ABIS_DVD,1999-01-31,Madacy Records,US,1998-07-07,97,198734,Madacy Records,056775005993
Pee-Wee's Big Adventure  [VHS],0790749351,"[Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger, Judd Omen]",VHS Tape,,[Tim Burton],9780790749358,VHS video,$4.40,Comedy,0790749351,Warner Home Video,Warner Home Video,"(15.99, USD)",Video,ABIS_VIDEO,2000-04-30,Warner Home Video,US,2000-05-02,91,520624,Warner Home Video,085391824237
State and Main,B00005BCK9,"[Michael Higgins, Michael Bradshaw, Morris Lamore, Allen Soule, Clark Gregg]",DVD,New Line Home Video,[David Mamet],9780780634954,,$4.99,,0780634950,New Line Home Video,New Line Home Video,"(8.4, USD)",DVD,ABIS_DVD,,New Line Home Video,US,2001-06-19,105,20836,New Line Home Video,794043525322
Godzilla Vs Gigan [VHS],6302241693,"[Hiroshi Ishikawa, Yuriko Hishimi, Minoru Takashima, Tomoko Umeda, Toshiaki Nishizawa]",VHS Tape,,[Jun Fukuda],9786302241693,,$5.89,,6302241693,Starz / Anchor Bay,Starz / Anchor Bay,"(9.88, USD)",Video,ABIS_VIDEO,,Starz / Anchor Bay,US,1997-09-30,89,135320,Starz / Anchor Bay,013131028959
Icons of Horror Collection: Hammer Films (The Curse of the Mummy's Tomb / Scream of Fear / The Two Faces of Dr. Jekyll / The Gorgon),B001B9ZVVC,"[Paul Massie - The Two Faces Of Dr. Jekyl, Terence Morgan - The Curse Of The Mummy', Peter Cushing - The Gorgon, Susan Strasberg - Scream Of Fear]",DVD,Sony Pictures Home ENT,[The Two Faces of Dr. Jekyll directed by],0043396271074,,$12.98,Horror,,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(14.96, USD)",DVD,ABIS_DVD,,Sony Pictures Home Entertainment,US,2008-10-14,333,92576,Sony Pictures Home Entertainment,043396271074
Demetrius and The Gladiators [VHS],6301412729,"[Victor Mature, Susan Hayward, Michael Rennie, Debra Paget, Anne Bancroft]",VHS Tape,,[Delmer Daves],9786301412728,,$2.69,,6301412729,20th Century Fox,20th Century Fox,"(6.68, USD)",Video,ABIS_VIDEO,,20th Century Fox,US,1995-03-15,101,323857,20th Century Fox,086162117831
The Big Kahuna [VHS],6305968896,"[Kevin Spacey, Danny DeVito, Peter Facinelli, Paul Dawson]",VHS Tape,,[John Swanbeck],9780783243269,,$4.99,,078324326X,Lions Gate Films Home Entertainment,Lions Gate Films Home Entertainment,"(8.88, USD)",Video,ABIS_VIDEO,,Lions Gate Films Home Entertainment,US,2001-01-16,91,493172,Lions Gate Films Home Entertainment,096898577434
Man in the White Suit [VHS],6303209971,"[Alec Guinness, Joan Greenwood, Cecil Parker, Michael Gough, Ernest Thesiger]",VHS Tape,,[Alexander Mackendrick],9786303209975,,$3.28,,6303209971,Republic Pictures,Republic Pictures,"(3.28, USD)",Video,ABIS_VIDEO,,Republic Pictures,US,1997-02-03,85,424942,Republic Pictures,017153591439
Snow Falling on Cedars,0783240325,"[Ethan Hawke, James Cromwell, Richard Jenkins, James Rebhorn, Sam Shepard]",DVD,Universal,[Scott Hicks],9780783240329,DVD Video,$7.46,,0783240325,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2013-04-02,Universal Studios Home Entertainment,US,2000-05-30,128,24411,Universal Studios Home Entertainment,025192055829
Roxie Hart [VHS],6303662560,"[Ginger Rogers, Adolphe Menjou, George Montgomery, Lynne Overman, Nigel Bruce]",VHS Tape,,[William A. Wellman],9786303662565,VHS video,$4.99,,6303662560,20th Century Fox,20th Century Fox,"(14.95, USD)",Video,ABIS_VIDEO,1995-11-30,20th Century Fox,US,1995-12-06,75,256754,20th Century Fox,086162867132
The X-Files - The Complete Fifth Season,B000060OFU,"[David Duchovny, Gillian Anderson, Mitch Pileggi, Robert Patrick, William B. Davis]",DVD,,"[Allen Coulter, Brett Dowler, Chris Carter, Cliff Bole, Daniel Sackheim]",0024543034964,Collector's Edition,$42.99,,,20th Century Fox Home Entertainment,20th Century Fox Home Entertainment,"(42.99, USD)",DVD,ABIS_DVD,,20th Century Fox Home Entertainment,US,2002-05-14,904,62737,20th Century Fox Home Entertainment,024543034964
Primeval: Volume 1 (Series 1 and 2),B001D2WUGG,[Various],DVD,Warner Manufacturing,[Various],0794051423221,,$125.19,,,BBC Home Entertainment,BBC Home Entertainment,"(125.19, USD)",DVD,ABIS_DVD,2008-11-04,BBC Home Entertainment,US,2008-11-04,592,88452,BBC Home Entertainment,794051423221
3 Women (The Criterion Collection),B0001GH5TW,"[Shelley Duvall, Sissy Spacek, Janice Rule, Robert Fortier, Ruth Nelson]",DVD,The Criterion Collection,[Robert Altman],9781559409490,The Criterion Collection,$22.97,,1559409495,Criterion,Criterion,"(22.97, USD)",DVD,ABIS_DVD,2013-11-29,Criterion,US,2004-04-20,124,107712,Criterion,715515015127
Bling Ring [Blu-ray],B00DS7F6RY,"[Emma Watson, Katie Chang, Israel Broussard, Taissa Farmiga, Leslie Mann]",Blu-ray,,"[Emma Watson, Katie Chang, Sofia Coppola]",5055201823939,,$12.83,,,Imports,Imports,"(12.83, USD)",DVD,ABIS_DVD,,Imports,US,2013-11-05,91,249540,Imports,
Beloved,0788815474,"[Oprah Winfrey, Danny Glover, Dorothy Love Coates, Thandie Newton, Jude Ciccolella]",DVD,TOUCHSTONE VIDEO,[Jonathan Demme],9780788815478,DVD Video,$2.05,,0788815474,Touchstone Home Entertainment,Touchstone Home Entertainment,"(5.99, USD)",DVD,ABIS_DVD,2011-03-27,Touchstone Home Entertainment,US,1999-05-18,171,31724,Touchstone Home Entertainment,717951002365
The Perfect Score (Full Screen Edition),B0001ZX006,"[Scarlett Johansson, Erika Christensen, Chris Evans, Leonardo Nam, Bryan Greenberg]",DVD,Paramount Home Video,[Brian Robbins],9780792190653,,$4.20,,0792190653,Paramount,Paramount,"(4.2, USD)",DVD,ABIS_DVD,,Paramount,US,2004-06-29,93,49270,Paramount,097360568349
Bad Moon,0790751658,"[Mariel Hemingway, Michael Paré, Mason Gamble, Ken Pogue, Hrothgar Mathews]",DVD,"HEMINGWAY,MARIEL",[Eric Red],9780790751658,DVD Video,$17.00,Horror,0790751658,Warner Home Video,Warner Home Video,"(17, USD)",DVD,ABIS_DVD,2000-08-31,Warner Home Video,US,2000-10-03,80,144281,Warner Home Video,085391491026
"The Beast From 20,000 Fathoms [VHS]",630210176X,"[Paul Hubschmid, Paula Raymond, Cecil Kellaway, Kenneth Tobey, Donald Woods]",VHS Tape,,[Eugène Lourié],9786302101768,,$12.02,,079070532X,Warner Home Video,Warner Home Video,"(12.02, USD)",Video,ABIS_VIDEO,,Warner Home Video,US,1993-12-13,80,274899,Warner Home Video,085391229131
The Keeper,B002G1WPIG,[Steven Seagal],DVD,FOX Home Entertainment,[],0024543615552,,$4.12,,,20th Century Fox,20th Century Fox,"(5.99, USD)",DVD,ABIS_DVD,2014-09-23,20th Century Fox,US,2010-01-19,94,50346,20th Century Fox,024543615552
The Muppets Take Manhattan [VHS],B00000IQBQ,[Animated],VHS Tape,,[],9780767832939,,$23.77,,0767832930,Sony Pictures,Sony Pictures,"(27.76, USD)",Video,ABIS_VIDEO,,Sony Pictures,US,1999-06-01,94,98369,Sony Pictures,043396036659
The Conformist (Dubbed) [VHS],6300216373,"[Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti]",VHS Tape,,[Bernardo Bertolucci],9786300216372,,$14.98,Drama,6300216373,Paramount Home Video,Paramount Home Video,"(14.98, USD)",Video,ABIS_VIDEO,,Paramount Home Video,US,2002-01-01,108,387104,Paramount Home Video,097360812138
Marty [VHS],6301973259,"[Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli, Joe Mantell]",VHS Tape,,[Delbert Mann],9780792805434,,$3.75,,6301973259,Fox Home Entertainme,Fox Home Entertainme,"(3.75, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2002-07-30,90,221401,Fox Home Entertainme,027616126733
The Hole,B0000ARD7T,"[Thora Birch, Desmond Harrington, Daniel Brocklebank, Laurence Fox, Keira Knightley]",DVD,Buena Vista Home Video,[Nick Hamm],0786936223859,,$14.99,,,Buena Vista Home Video,Buena Vista Home Video,"(34.95, USD)",DVD,ABIS_DVD,,Buena Vista Home Video,US,2004-10-19,102,59674,Buena Vista Home Video,786936223859
"Pink Floyd: Live at Pompeii (Director's Cut)[Region 1,2,3,4,5,6]",B00008S7KC,"[David Gilmour, Roger Waters, Richard Wright, Nick Mason]",DVD,Pink Floyd,[Adrian Maben],5050582013108,Director's Cut,$13.37,,,Universal 2003,Universal 2003,"(22.01, USD)",DVD,ABIS_DVD,,Universal 2003,US,,62,105800,Universal 2003,
Stargate: Continuum,B0017MO10U,"[Ben Browder, Michael Shanks, Amanda Tapping, Christopher Judge, Claudia Black]",DVD,TCFHE,[],0024543528463,,$2.00,,,MGM Entertainment,MGM Entertainment,"(7.98, USD)",DVD,ABIS_DVD,2014-09-23,MGM Entertainment,US,2008-07-29,98,31200,MGM Entertainment,024543528463
The Trouble With Harry [VHS],0783235623,"[John Forsythe, Shirley MacLaine, Edmund Gwenn, Mildred Natwick, Mildred Dunnock]",VHS Tape,,[Alfred Hitchcock],9780783235622,,$4.90,,0783235623,Universal Studios,Universal Studios,"(7.95, USD)",Video,ABIS_VIDEO,,Universal Studios,US,1999-08-03,99,217724,Universal Studios,096898470636
Three Men and a Baby [VHS],6301157141,"[Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis, Margaret Colin]",VHS Tape,,[Leonard Nimoy],9786301157148,,$0.01,,6301157141,Touchstone Home Video,Touchstone Home Video,"(7.5, USD)",Video,ABIS_VIDEO,,Touchstone Home Video,US,1992-12-07,102,80995,Touchstone Home Video,012257658033
Superman: Unbound,B00BBAQD6S,"[Matt Bomer, Stana Katic, John Noble, Molly C. Quinn, Alexander Gould]",DVD,Warner Manufacturing,[James Tucker],0883929252237,Standard Edition,$8.86,,,WarnerBrothers,WarnerBrothers,"(9.99, USD)",DVD,ABIS_DVD,2013-05-07,WarnerBrothers,US,2013-05-07,75,42749,WarnerBrothers,883929252237
"SCTV, Volume 1 - Network 90 (5 Disc Set)",B0001S6AQE,"[John Candy, Joe Flaherty, Eugene Levy, Andrea Martin, Catherine O'Hara]",DVD,Shout,[],9780738926742,,$34.04,,0738926744,Shout Factory,Shout Factory,"(38.54, USD)",DVD,ABIS_DVD,2012-07-03,Shout Factory,US,2004-06-08,780,12041,Shout Factory,826663124491
Indochine [VHS],6302986109,"[Catherine Deneuve, Vincent Perez, Linh Dan Pham, Jean Yanne, Dominique Blanc]",VHS Tape,,[Régis Wargnier],9780800125134,,$6.33,,0800125134,Sony Pictures Home E,Sony Pictures Home E,"(10.97, USD)",Video,ABIS_VIDEO,,Sony Pictures Home E,US,2000-02-15,159,171762,Sony Pictures Home E,043396272330
Bride Wars (Three-Disc Set) [Blu-ray],B001QOGY4U,"[Anne Hathaway, Kate Hudson, Kristen Johnston, Bryan Greenberg, Candice Bergen]",Blu-ray,Kate Hudson,[Gary Winick],0024543579472,Digital Copy Included ed.,$4.01,Comedy,,20th Century Fox,20th Century Fox,"(8.87, USD)",DVD,ABIS_DVD,2014-04-01,20th Century Fox,US,2009-04-28,89,15105,20th Century Fox,024543579472
Charmed: Season 1,B0006IUE16,"[Alyssa Milano, Holly Marie Combs, Shannen Doherty, Ted King, Dorian Gregory]",DVD,Paramount,[],0097360535945,,$6.00,Action & Adventure,,Paramount,Paramount,"(9.99, USD)",DVD,ABIS_DVD,2015-08-18,Paramount,US,2005-02-01,972,12833,Paramount,097360535945
Michael Collins,0790729407,"[Liam Neeson, Aidan Quinn, Julia Roberts, Stephen Rea, Alan Rickman]",DVD,"NEESON,LIAM",[Neil Jordan],9780790729404,DVD Video,$8.71,Drama,0790729407,Warner Home Video,Warner Home Video,"(15.89, USD)",DVD,ABIS_DVD,1999-01-31,Warner Home Video,US,1997-04-08,133,44361,Warner Home Video,085391420521
The Lawnmower Man (New Line Platinum Series),6304604572,"[Jeff Fahey, Pierce Brosnan, Jenny Wright, Mark Bringelson, Geoffrey Lewis]",DVD,,[Brett Leonard],9786304604571,DVD Video,$4.45,,6304604572,New Line Home Video,New Line Home Video,"(12.95, USD)",DVD,ABIS_DVD,1998-04-30,New Line Home Video,US,1997-12-17,108,74415,New Line Home Video,794043409226
Rambo III,0784011222,"[Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith, Spiros Focás]",DVD,Warner Home Video in Hong Kong,[Peter MacDonald],9780784011225,,$2.39,,0784011222,Live / Artisan,Live / Artisan,"(8.98, USD)",DVD,ABIS_DVD,,Live / Artisan,US,1998-10-21,102,291733,Live / Artisan,012236046707
The Kid Stays in the Picture,B00009PY57,"[Robert Evans, Eddie Albert, Peter Bart, Charlie Bluhdorn, William Castle]",DVD,Warner Manufacturing,"[Brett Morgen, Nanette Burstein]",9780790778303,,$4.89,,0790778300,Warner Home Video,Warner Home Video,"(11.95, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2004-06-01,93,92182,Warner Home Video,085393783020
Very Bad Things,6305353549,"[Christian Slater, Daniel Stern, Cameron Diaz, Jon Favreau, Leland Orser]",DVD,"DIAZ,CAMERON",[Peter Berg],9786305353546,,$4.40,Comedy,6305353549,Polygram Filmed Entertainment,Polygram Filmed Entertainment,"(4.4, USD)",DVD,ABIS_DVD,,Polygram Filmed Entertainment,US,1999-05-18,100,134800,Polygram Filmed Entertainment,044005827729
Behind the Candelabra,B00D2CYU2W,"[Michael Douglas, Matt Damon, Scott Bakula]",DVD,HBO HOME VIDEO,[Steven Soderbergh],0883929348657,Standard Edition,$12.90,,,HBO Studios,HBO Studios,"(13.99, USD)",DVD,ABIS_DVD,2013-09-17,HBO Studios,US,2013-09-17,120,22960,HBO Studios,883929348657
Ellery Queen Mysteries,B003RHZ6CK,"[Jim Hutton, David Wayne, Tom Reese, John Hillerman, Nina Roman]",DVD,E1 ENTERTAINMENT,[David Greene],0741952675594,,$195.59,,,Entertainment One,Entertainment One,"(204.66, USD)",DVD,ABIS_DVD,2010-09-28,Entertainment One,US,2010-09-28,1176,23141,Entertainment One,741952675594
Homeward Bound - The Incredible Journey,6304711913,"[Michael J. Fox, Sally Field, Don Ameche, Don Alder, Ed Bernard]",DVD,Buena Vista Home Video,[Duwayne Dunham],9786304711910,,$5.53,,6304711913,Walt Disney Studios Home Entertainment,Walt Disney Studios Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2002-09-03,Walt Disney Studios Home Entertainment,US,2000-12-12,84,3511,Walt Disney Studios Home Entertainment,717951000071
The Legend of 1900,B000065KH2,"[Tim Roth, Pruitt Taylor Vince, Bill Nunn, Clarence Williams III, Mélanie Thierry]",DVD,,[Giuseppe Tornatore],0065935137344,,$18.97,,,Alliance Atlantis,Alliance Atlantis,"(22, USD)",DVD,ABIS_DVD,,Alliance Atlantis,US,,125,210057,Alliance Atlantis,065935137344
The Bear,6301674707,[The Bear],VHS Tape,,[Jean-Jacques Annaud],9780800101312,,$0.01,,0800101316,RCA/Columbia,RCA/Columbia,"(5, USD)",DVD,ABIS_VIDEO,,RCA/Columbia,US,,92,311928,RCA/Columbia,043396702134
Grumpy Old Men/Grumpier Old Men (2pk),B000FOPPC4,[Various],DVD,Warner Manufacturing,[Various],0012569817487,,$7.08,COMEDY,,WarnerBrothers,WarnerBrothers,"(18.45, USD)",DVD,ABIS_DVD,,WarnerBrothers,US,2007-09-04,93,4012,WarnerBrothers,012569817487
Soul Food,B000059HAB,"[Vanessa Williams, Vivica A. Fox, Nia Long, Michael Beach, Mekhi Phifer]",DVD,,[George Tillman Jr.],0024543012061,Director's Cut,$3.85,,,20th Century Fox,20th Century Fox,"(19.95, USD)",DVD,ABIS_DVD,,20th Century Fox,US,2001-04-03,115,167928,20th Century Fox,024543012061
Beverly Hills Cop 2 [VHS],B000003KDD,"[Eddie Murphy, Judge Reinhold, Jürgen Prochnow, Ronny Cox, John Ashton]",VHS Tape,,[Tony Scott],9780792105404,,$2.45,,0792105400,Paramount Home Video,Paramount Home Video,"(11.75, USD)",Video,ABIS_DVD,,Paramount Home Video,US,1999-06-01,100,227665,Paramount Home Video,097360186031
Creep,B000BQ5J8G,"[Franka Potente, Sean Harris, Vas Blackwood, Ken Campbell, Kathryn Gilfeather]",DVD,LION'S GATE ENTERTAINMENT,[Christopher Smith],0031398186250,,$8.33,Horror,,Lions Gate,Lions Gate,"(9.99, USD)",DVD,ABIS_DVD,2007-05-22,Lions Gate,US,2005-12-20,85,85750,Lions Gate,031398186250
Transformers: Age of Extinction Limited Edition Gift Set with Grimlock and Optimus Collectible Statue [Blu-ray],B00L4IDS4W,"[Mark Wahlberg, Nicola Peltz]",Blu-ray,Paramount,[Michael Bay],0032429158864,Limited Edition,$36.99,,,Paramount,Paramount,"(36.99, USD)",DVD,ABIS_DVD,,Paramount,US,2014-09-30,164,19403,Paramount,032429158864
Crack in the World,B003J216K4,"[Dana Andrews, Janette Scott, Kieron Moore, Alexander Knox]",DVD,,[Andrew Marton],0887090026406,,$12.61,,,Olive Films,Olive Films,"(14.99, USD)",DVD,ABIS_DVD,2010-07-27,Olive Films,US,2010-07-27,96,33738,Olive Films,887090026406
"MI-5, Vol. 1",B0000E32UZ,"[Matthew Macfadyen, Shauna Macdonald, Keeley Hawes, David Oyelowo, Rory MacGregor]",DVD,Warner Manufacturing,[],9780790784823,,$35.36,,0790784823,BBC,BBC,"(35.37, USD)",DVD,ABIS_DVD,2006-08-22,BBC,US,2006-08-22,360,22362,BBC,794051187222
Hulk vs Wolverine/hulk vs Thor [Blu-ray],B001KP2J26,"[Mark Acheson, Michael Adamthwaite, Jay Brazeau, Grey DeLisle]",Blu-ray,LGF,"[Frank Paur, Sam Liu]",0031398104292,,$8.18,,,Lions Gate,Lions Gate,"(8.19, USD)",DVD,ABIS_DVD,2010-01-19,Lions Gate,US,2009-01-27,82,24085,Lions Gate,031398104292
Badlands,0790739240,"[Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri, Alan Vint]",DVD,"SHEEN,MARTIN",[Terrence Malick],9780790739243,DVD Video,$35.99,Mystery & Thrillers,0790739240,Warner Home Video,Warner Home Video,"(35.99, USD)",DVD,ABIS_DVD,1999-03-31,Warner Home Video,US,1999-04-27,94,132020,Warner Home Video,085391608622
Ninotchka [VHS],0792840062,"[Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi, Sig Ruman]",VHS Tape,,[Ernst Lubitsch],9780792840060,VHS video,$2.11,,0792840062,MGM (Video & DVD),MGM (Video & DVD),"(7, USD)",Video,ABIS_VIDEO,1998-12-31,MGM (Video & DVD),US,1999-01-05,110,337979,MGM (Video & DVD),027616733337
Ned Kelly,B000294TC4,"[Heath Ledger, Orlando Bloom, Naomi Watts, Geoffrey Rush, Joel Edgerton]",DVD,"LEDGER,HEATH",[Gregor Jordan],9780783284231,,$3.99,,0783284233,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.77, USD)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2004-07-27,110,85528,Universal Studios Home Entertainment,025192328923
Watcher in the Woods [VHS],6305183260,"[Bette Davis, Lynn-Holly Johnson, Kyle Richards, Carroll Baker, David McCallum]",VHS Tape,,"[John Hough, Vincent McEveety]",9786305183266,VHS video,$49.93,,6305183260,Anchor Bay,Anchor Bay,"(49.93, USD)",Video,ABIS_VIDEO,1998-10-31,Anchor Bay,US,1998-09-29,84,305536,Anchor Bay,013131056839
Hollywood Ending,B00005JL81,"[Woody Allen, George Hamilton, Téa Leoni, Douglas McGrath, Debra Messing]",DVD,,[Woody Allen],0667068997422,,$8.61,,,Dreamworks Video,Dreamworks Video,"(12.91, USD)",DVD,ABIS_DVD,,Dreamworks Video,US,2002-09-17,112,127280,Dreamworks Video,667068997422
You Can't Take It With You [VHS],0800114051,"[Jean Arthur, James Stewart, Lionel Barrymore, Edward Arnold, Mischa Auer]",VHS Tape,,[Frank Capra],9780800114053,,$4.25,,0800114051,Sony Pictures,Sony Pictures,"(9.8, USD)",Video,ABIS_VIDEO,,Sony Pictures,US,1997-06-03,126,63097,Sony Pictures,043396845237
Can't Stop the Music [VHS],6302990106,"[Ray Simpson, David Hodo, Felipe Rose, Randy Jones, Glenn Hughes]",VHS Tape,,[Nancy Walker],9786302990102,,$5.88,,6302990106,Republic Pictures,Republic Pictures,"(11.18, USD)",Video,ABIS_VIDEO,,Republic Pictures,US,1998-01-01,124,365073,Republic Pictures,017153582536
Rocketship X-M,6305869367,"[Lloyd Bridges, Osa Massen, John Emery, Noah Beery Jr., Hugh O'Brian]",DVD,Image Entertainment,[Kurt Neumann],9786305869368,Anniversary ed.,$44.73,,6305869367,Image Entertainment,Image Entertainment,"(44.73, USD)",DVD,ABIS_DVD,2006-10-03,Image Entertainment,US,2000-06-06,77,85321,Image Entertainment,014381869323
Avengers [VHS],0790738503,"[Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee, Jim Broadbent]",VHS Tape,,[Jeremiah S. Chechik],9780790738505,VHS video,$2.00,Action & Adventure,0790738503,Warner Home Video,Warner Home Video,"(4.3, USD)",Video,ABIS_VIDEO,1998-11-30,Warner Home Video,US,1999-06-01,89,505633,Warner Home Video,085391587330
Stone,B0047T74CM,"[Robert De Niro, Milla Jovovich, Edward Norton]",DVD,Anchor Bay Home Entertainment,[John Curran],0013132167893,,$4.99,,,Anchor Bay Entertainment,Anchor Bay Entertainment,"(7.97, USD)",DVD,ABIS_DVD,2011-08-23,Anchor Bay Entertainment,US,2011-01-18,105,50473,Anchor Bay Entertainment,013132167893
Exam,B0040QYRSQ,"[Luke Mably, Adar Beck, Gemma Chan]",DVD,MPI HOME VIDEO,[Stuart Hazeldine],0030306955797,,$14.87,,,MPI HOME VIDEO,MPI HOME VIDEO,"(19.99, USD)",DVD,ABIS_DVD,2010-11-16,MPI HOME VIDEO,US,2010-11-16,101,92686,MPI HOME VIDEO,030306955797
Joan of Arc [VHS],6305535582,"[Leelee Sobieski, Jacqueline Bisset, Powers Boothe, Neil Patrick Harris, Maury Chaykin]",VHS Tape,,[Christian Duguay],9786305535584,,$2.75,,6305535582,Live / Artisan,Live / Artisan,"(5.99, USD)",Video,ABIS_VIDEO,,Live / Artisan,US,1999-09-28,140,256166,Live / Artisan,012236101734
Because of Winn-Dixie,B0009NZ2KG,"[AnnaSophia Robb, Jeff Daniels, Eva Marie Saint, Cicely Tyson, Dave Matthews]",DVD,"DANIELS,JEFF",[Wayne Wang],0000010808023,New Box Art,$3.50,,,20th Century Fox,20th Century Fox,"(7.95, USD)",DVD,ABIS_DVD,2014-03-18,20th Century Fox,US,2011-10-11,106,1738,20th Century Fox,024543393849
The Hazing,B0002LE9FO,"[Brad Dourif, Parry Shen]",DVD,MTI Productions,[],0039414560060,,$34.98,,,MTI Home Video,MTI Home Video,"(34.98, USD)",DVD,ABIS_DVD,2005-07-26,MTI Home Video,US,2004-09-14,87,125055,MTI Home Video,039414560060
Alias - The Complete Fourth Season,B000A6T2BW,"[Jennifer Garner, Ron Rifkin]",DVD,Buena Vista Home Video,[],9780788858901,,$14.00,Kids & Family,0788858904,Buena Vista,Buena Vista,"(29.29, USD)",DVD,ABIS_DVD,,Buena Vista,US,2005-10-25,923,90830,Buena Vista,786936280364
Countess Dracula / The Vampire Lovers (Midnite Movies Double Feature),B00009PY48,"[Ingrid Pitt, Nigel Green, Sandor Elès, Maurice Denham, Patience Collier]",DVD,"PITT,INGRID","[Peter Sasdy, Roy Ward Baker]",9780792857501,,$34.70,Horror,079285750X,MGM (Video & DVD),MGM (Video & DVD),"(49.95, USD)",DVD,ABIS_DVD,,MGM (Video & DVD),US,2003-08-26,91,23671,MGM (Video & DVD),027616889041
The Thin Man Goes Home [VHS],6301975960,"[William Powell, Myrna Loy, Lucile Watson, Gloria DeHaven, Anne Revere]",VHS Tape,,[Richard Thorpe],9786301975964,,$5.46,,6301975960,Warner Home Video,Warner Home Video,"(6.95, USD)",Video,ABIS_VIDEO,,Warner Home Video,US,1991-04-24,101,251613,Warner Home Video,027616097002
Papillon,B0000399WC,"[Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon, Anthony Zerbe]",DVD,Warner Manufacturing,[Franklin J. Schaffner],9780790733470,,$6.99,,0790733471,Warner Home Video,Warner Home Video,"(18.94, USD)",DVD,ABIS_DVD,,Warner Home Video,US,1999-12-14,151,108255,Warner Home Video,012569083226
"Sex and the City: Season 6, Part 2",B00030M9OW,"[Sarah Jessica Parker, Cynthia Nixon, Kristin Davis, Kim Cattrall]",DVD,Warner Manufacturing,[],9780783129952,,$4.57,Comedy,0783129955,HBO Studios,HBO Studios,"(18.83, USD)",DVD,ABIS_DVD,,HBO Studios,US,2012-01-17,270,89867,HBO Studios,026359232923
Catch-22 [VHS],6301015304,"[Alan Arkin, Martin Balsam, Richard Benjamin, Art Garfunkel, Jack Gilford]",VHS Tape,,[Mike Nichols],9786301015301,VHS video,$4.95,,6301015304,Paramount,Paramount,"(6.98, USD)",Video,ABIS_DVD,1987-02-28,Paramount,US,1996-07-16,122,283012,Paramount,097360692433
The Gods Must Be Crazy I / The Gods Must Be Crazy II (Double Feature),B00005JKU7,"[N!xau, Marius Weyers, Sandra Prinsloo, Louw Verwey, Michael Thys]",DVD,N!XAU,[Jamie Uys],9781404911475,,$34.23,,1404911472,Columbia Tristar Home Entertainment,Columbia Tristar Home Entertainment,"(39.89, USD)",DVD,ABIS_DVD,,Columbia Tristar Home Entertainment,US,2004-02-03,109,6013,Columbia Tristar Home Entertainment,043396106499
The Unit - The Complete First Season,B000GB75CO,"[Dennis Haysbert, Audrey Marie Anderson, Regina Taylor, Max Martini, Robert Patrick]",DVD,Fox,[David Mamet],0024543370598,,$12.70,,,20th Century Fox,20th Century Fox,"(12.7, USD)",DVD,ABIS_DVD,2014-06-17,20th Century Fox,US,2009-10-06,564,14606,20th Century Fox,024543370598
The Double Life of Veronique [VHS],6302508754,"[Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska, Kalina Jedrusik, Aleksander Bardini]",VHS Tape,,[Krzysztof Kieslowski],9786302508758,,$8.49,Drama,6302508754,Paramount Home Video,Paramount Home Video,"(8.49, USD)",Video,ABIS_DVD,,Paramount Home Video,US,2001-04-03,98,361134,Paramount Home Video,097361512235
The Mighty,6305428247,"[Kieran Culkin, Elden Henson, Sharon Stone, Harry Dean Stanton, Gena Rowlands]",DVD,Buena Vista Home Video,[Peter Chelsom],9780788815690,,$10.29,,0788815695,Miramax,Miramax,"(11.89, USD)",DVD,ABIS_DVD,,Miramax,US,1999-07-13,100,7418,Miramax,071795100206
